generation,avg_survival,n1_weight_mag,n2_weight_mag
455,19,0.0000,0.0000
456,19,0.0000,0.0000
457,19,0.0000,0.0000
458,19,0.0000,0.0000
459,19,0.0000,0.0000
460,19,0.0000,0.0000
461,20,0.0000,0.0000
462,19,0.0000,0.0000
463,19,0.0000,0.0000
464,18,0.0000,0.0000
465,19,0.0000,0.0000
466,18,0.0000,0.0000
467,20,0.0000,0.0000
468,20,0.0000,0.0000
469,20,0.0000,0.0000
470,19,0.0000,0.0000
471,19,0.0000,0.0000
472,19,0.0000,0.0000
473,19,0.0000,0.0000
474,19,0.0000,0.0000
475,19,0.0000,0.0000
476,19,0.0000,0.0000
477,18,0.0000,0.0000
478,18,0.0000,0.0000
479,18,0.0000,0.0000
480,20,0.0000,0.0000
481,20,0.0000,0.0000
482,19,0.0000,0.0000
483,19,0.0000,0.0000
484,19,0.0000,0.0000
485,20,0.0000,0.0000
486,19,0.0000,0.0000
487,19,0.0000,0.0000
488,18,0.0000,0.0000
489,20,0.0000,0.0000
490,19,0.0000,0.0000
491,20,0.0000,0.0000
492,19,0.0000,0.0000
493,20,0.0000,0.0000
494,19,0.0000,0.0000
495,19,0.0000,0.0000
496,19,0.0000,0.0000
497,19,0.0000,0.0000
498,19,0.0000,0.0000
499,19,0.0000,0.0000
500,19,0.0000,0.0000
501,21,0.0000,0.0000
502,21,0.0000,0.0000
503,19,0.0000,0.0000
504,19,0.0000,0.0000
505,19,0.0000,0.0000
506,19,0.0000,0.0000
507,19,0.0000,0.0000
508,19,0.0000,0.0000
509,20,0.0000,0.0000
510,20,0.0000,0.0000
511,20,0.0000,0.0000
512,19,0.0000,0.0000
513,19,0.0000,0.0000
514,19,0.0000,0.0000
515,20,0.0000,0.0000
516,20,0.0000,0.0000
517,19,0.0000,0.0000
518,20,0.0000,0.0000
519,20,0.0000,0.0000
520,20,0.0000,0.0000
521,19,0.0000,0.0000
522,20,0.0000,0.0000
523,19,0.0000,0.0000
524,19,0.0000,0.0000
525,19,0.0000,0.0000
526,18,0.0000,0.0000
527,19,0.0000,0.0000
528,19,0.0000,0.0000
529,19,0.0000,0.0000
530,19,0.0000,0.0000
531,18,0.0000,0.0000
532,19,0.0000,0.0000
533,18,0.0000,0.0000
534,19,0.0000,0.0000
535,19,0.0000,0.0000
536,19,0.0000,0.0000
537,19,0.0000,0.0000
538,20,0.0000,0.0000
539,20,0.0000,0.0000
540,19,0.0000,0.0000
541,19,0.0000,0.0000
542,18,0.0000,0.0000
543,19,0.0000,0.0000
544,19,0.0000,0.0000
545,19,0.0000,0.0000
546,19,0.0000,0.0000
547,19,0.0000,0.0000
548,19,0.0000,0.0000
549,19,0.0000,0.0000
550,19,0.0000,0.0000
551,19,0.0000,0.0000
552,19,0.0000,0.0000
553,20,0.0000,0.0000
554,19,0.0000,0.0000
555,19,0.0000,0.0000
556,19,0.0000,0.0000
557,19,0.0000,0.0000
558,19,0.0000,0.0000
559,18,0.0000,0.0000
560,19,0.0000,0.0000
561,19,0.0000,0.0000
562,19,0.0000,0.0000
563,19,0.0000,0.0000
564,20,0.0000,0.0000
565,20,0.0000,0.0000
566,19,0.0000,0.0000
567,19,0.0000,0.0000
568,18,0.0000,0.0000
569,19,0.0000,0.0000
570,18,0.0000,0.0000
571,19,0.0000,0.0000
572,19,0.0000,0.0000
573,19,0.0000,0.0000
574,19,0.0000,0.0000
575,19,0.0000,0.0000
576,17,0.0000,0.0000
577,19,0.0000,0.0000
578,19,0.0000,0.0000
579,19,0.0000,0.0000
580,19,0.0000,0.0000
581,19,0.0000,0.0000
582,19,0.0000,0.0000
583,19,0.0000,0.0000
584,19,0.0000,0.0000
585,20,0.0000,0.0000
586,19,0.0000,0.0000
587,19,0.0000,0.0000
588,19,0.0000,0.0000
589,20,0.0000,0.0000
590,21,0.0000,0.0000
591,19,0.0000,0.0000
592,18,0.0000,0.0000
593,17,0.0000,0.0000
594,19,0.0000,0.0000
595,18,0.0000,0.0000
596,19,0.0000,0.0000
597,19,0.0000,0.0000
598,19,0.0000,0.0000
599,18,0.0000,0.0000
600,18,0.0000,0.0000
601,18,0.0000,0.0000
602,18,0.0000,0.0000
603,19,0.0000,0.0000
604,20,0.0000,0.0000
605,19,0.0000,0.0000
606,18,0.0000,0.0000
607,19,0.0000,0.0000
608,19,0.0000,0.0000
609,19,0.0000,0.0000
610,19,0.0000,0.0000
611,19,0.0000,0.0000
612,19,0.0000,0.0000
613,18,0.0000,0.0000
614,19,0.0000,0.0000
615,18,0.0000,0.0000
616,19,0.0000,0.0000
617,19,0.0000,0.0000
618,19,0.0000,0.0000
619,19,0.0000,0.0000
620,20,0.0000,0.0000
621,19,0.0000,0.0000
622,19,0.0000,0.0000
623,19,0.0000,0.0000
624,19,0.0000,0.0000
625,20,0.0000,0.0000
626,19,0.0000,0.0000
627,19,0.0000,0.0000
628,19,0.0000,0.0000
629,18,0.0000,0.0000
630,17,0.0000,0.0000
631,19,0.0000,0.0000
632,19,0.0000,0.0000
633,20,0.0000,0.0000
634,20,0.0000,0.0000
635,19,0.0000,0.0000
636,19,0.0000,0.0000
637,19,0.0000,0.0000
638,18,0.0000,0.0000
639,19,0.0000,0.0000
640,19,0.0000,0.0000
641,19,0.0000,0.0000
642,20,0.0000,0.0000
643,21,0.0000,0.0000
644,19,0.0000,0.0000
645,19,0.0000,0.0000
646,19,0.0000,0.0000
647,19,0.0000,0.0000
648,20,0.0000,0.0000
649,19,0.0000,0.0000
650,19,0.0000,0.0000
651,19,0.0000,0.0000
652,18,0.0000,0.0000
653,19,0.0000,0.0000
654,19,0.0000,0.0000
655,19,0.0000,0.0000
656,18,0.0000,0.0000
657,19,0.0000,0.0000
658,20,0.0000,0.0000
659,20,0.0000,0.0000
660,20,0.0000,0.0000
661,19,0.0000,0.0000
662,18,0.0000,0.0000
663,19,0.0000,0.0000
664,19,0.0000,0.0000
665,20,0.0000,0.0000
666,19,0.0000,0.0000
667,19,0.0000,0.0000
668,18,0.0000,0.0000
669,19,0.0000,0.0000
670,19,0.0000,0.0000
671,19,0.0000,0.0000
672,18,0.0000,0.0000
673,18,0.0000,0.0000
