generation,avg_survival,n1_weight_mag,n2_weight_mag
2099,45,5.7804,8.4223
2100,45,5.7396,8.4214
2101,45,5.7274,8.4215
2102,44,5.7194,8.4216
2103,44,5.7116,8.4215
2104,44,5.8431,8.3942
2105,43,5.8274,8.3935
2106,43,5.8155,8.3926
2107,43,5.8055,8.3916
2108,43,5.7959,8.3910
2109,45,5.8938,8.5987
2110,44,5.8787,8.5980
2111,44,5.8678,8.5971
2112,45,5.8591,8.5964
2113,44,5.8517,8.5958
2114,45,5.8690,8.4107
2115,45,5.8655,8.4100
2116,45,5.8604,8.4098
2117,45,5.8556,8.4095
2118,44,5.8517,8.4092
2119,44,5.7511,8.5143
2120,45,5.7433,8.5141
2121,44,5.7389,8.5142
2122,45,5.7358,8.5141
2123,44,5.7331,8.5141
2124,43,5.9439,8.6063
2125,43,5.9433,8.6029
2126,43,5.9382,8.6014
2127,43,5.9323,8.6000
2128,43,5.9278,8.5989
2129,41,5.8753,8.3905
2130,40,5.8715,8.3882
2131,40,5.8694,8.3870
2132,40,5.8672,8.3862
2133,40,5.8645,8.3857
2134,44,5.9045,8.3953
2135,45,5.8963,8.3935
2136,42,5.8550,8.3905
2137,42,5.8496,8.3906
2138,43,5.8474,8.3898
2139,44,5.9808,8.5693
2140,44,5.9631,8.5635
2141,44,5.9724,8.5625
2142,44,5.9556,8.5602
2143,43,5.9679,8.5598
2144,44,6.0789,8.5884
2145,44,6.0752,8.5838
2146,44,6.0705,8.5834
2147,45,6.0693,8.5835
2148,44,6.0692,8.5833
2149,45,6.0012,8.4000
2150,44,5.9892,8.3961
2151,45,5.9847,8.3968
2152,44,5.9766,8.3908
2153,44,5.9615,8.3908
2154,45,5.8147,8.3471
2155,45,5.8095,8.3458
2156,44,5.8060,8.3449
2157,45,5.8031,8.3441
2158,45,5.8002,8.3435
2159,44,5.9046,8.5824
2160,43,5.8983,8.5834
2161,44,5.8945,8.5838
2162,44,5.8917,8.5839
2163,43,5.8873,8.5846
2164,45,5.9234,8.4553
2165,44,5.9279,8.4483
2166,44,5.9281,8.4413
2167,44,5.8812,8.4390
2168,44,5.8799,8.4379
2169,43,5.8694,8.3102
2170,43,5.8607,8.3103
2171,42,5.8548,8.3103
2172,42,5.8499,8.3104
2173,42,5.8458,8.3105
2174,43,5.8579,8.3736
2175,44,5.8459,8.3706
2176,44,5.8374,8.3676
2177,44,5.8307,8.3650
2178,44,5.8249,8.3630
2179,45,5.8950,8.6057
2180,45,5.8819,8.5972
2181,45,5.8793,8.5925
2182,44,5.8780,8.5890
2183,45,5.8742,8.5870
2184,44,6.1290,8.3682
2185,44,6.1280,8.3681
2186,44,6.1242,8.3687
2187,44,6.1242,8.3684
2188,45,6.1201,8.3679
2189,43,6.0663,8.4685
2190,43,6.0521,8.4676
2191,43,6.0451,8.4660
2192,42,6.0394,8.4647
2193,42,6.0337,8.4633
2194,43,5.9186,8.3819
2195,44,5.9171,8.3797
2196,44,5.9143,8.3795
2197,44,5.9106,8.3781
2198,44,5.9008,8.3782
2199,44,6.0249,8.3608
2200,44,6.0217,8.3559
2201,44,6.0182,8.3527
2202,43,6.0145,8.3505
2203,43,6.0130,8.3483
2204,43,5.9728,8.4447
2205,41,5.9423,8.4361
2206,40,5.9312,8.4341
2207,41,5.9200,8.4343
2208,42,5.9095,8.4352
2209,44,5.7604,8.4549
2210,44,5.7509,8.4542
2211,43,5.7461,8.4533
2212,44,5.7437,8.4525
2213,44,5.7437,8.4510
2214,44,6.0086,8.6162
2215,44,6.0104,8.6140
2216,44,6.0053,8.6133
2217,43,5.9989,8.6126
2218,43,5.9930,8.6119
2219,44,6.0832,8.4566
2220,45,6.0849,8.4579
2221,44,6.0866,8.4589
